client_name,prompt_id,prompt_text,appearances,appearance_percent,avg_position,avg_sentiment,timestamp
Bright Smiles Dental,91,Who is the best Veneers provider in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.497488
Bright Smiles Dental,92,Where can I find Veneers for adults in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.513564
Bright Smiles Dental,93,Affordable Veneers in Austin for someone without insurance.,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.526394
Bright Smiles Dental,94,Looking for Veneers options in Austin that are without insurance.,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.537621
Bright Smiles Dental,95,What are the top-rated Veneers options in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.548156
Bright Smiles Dental,96,Who is the best Veneers provider in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.562907
Bright Smiles Dental,97,Where can I find Veneers for adults in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.620521
Bright Smiles Dental,98,Affordable Veneers in Austin for someone affordable.,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.655411
Bright Smiles Dental,99,Looking for Veneers options in Austin that are affordable.,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.682661
Bright Smiles Dental,100,What are the top-rated Veneers options in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.700387
Bright Smiles Dental,101,Who is the best Veneers provider in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.716491
Bright Smiles Dental,102,Where can I find Veneers for adults in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.730339
Bright Smiles Dental,103,Affordable Veneers in Austin for someone available this month.,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.756295
Bright Smiles Dental,104,Looking for Veneers options in Austin that are available this month.,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.778518
Bright Smiles Dental,105,What are the top-rated Veneers options in Austin?,100,100.0,0.0,0.6000000000000001,2025-07-25 14:46:28.795589
